feature_a,feature_b,abs_pearson_r,feature_a_outcome_corr_abs,feature_b_outcome_corr_abs,kept_feature,dropped_feature
dwi_original_firstorder_90Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.9284195969023767,0.13138979888883973,0.13955698993341575,dwi_log-sigma-2-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_90Percentile
dwi_log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,dwi_log-sigma-3-0-mm-3D_firstorder_Minimum,0.8086120132280276,0.062236559621176774,0.11413966693152014,dwi_log-sigma-3-0-mm-3D_firstorder_Minimum,dwi_log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis
dwi_log-sigma-2-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_firstorder_Minimum,0.9480444052048284,0.13955698993341575,0.11413966693152014,dwi_log-sigma-2-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_firstorder_Minimum
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_ngtdm_Complexity,0.8785342954997548,0.02406432981156568,0.018685027307030897,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_ngtdm_Complexity
dwi_log-sigma-2-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,0.9860236818043177,0.13955698993341575,0.14166732494396264,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_10Percentile
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.8368876831870444,0.14166732494396264,0.06286817726676257,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_glcm_Autocorrelation
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.868864487022176,0.02406432981156568,0.02336995673124366,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis,0.8476517024254864,0.14166732494396264,0.0657440712715491,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis
dwi_log-sigma-2-0-mm-3D_glcm_Autocorrelation,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,0.9995967562518473,0.056698739308526924,0.059037131467609465,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-2-0-mm-3D_glcm_Autocorrelation
dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_original_ngtdm_Complexity,0.8717387235499242,0.059037131467609465,0.051418332094464815,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_original_ngtdm_Complexity
