gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
P2RY14,-1.28376254636364,4.86365836090226,-4.18900672187594,5.06074439075643e-05,0.0005037786378727,1.72308701248734
BBOF1,-1.2907205369697,7.08970387218045,-5.06936632751212,1.3052346997208e-06,9.0772892557807e-05,5.11571235495657
NDN,-1.29120515484849,6.06160045864662,-4.17938307725576,5.25372556676237e-05,0.0005148651055427,1.68862332313784
GABRP,-1.30243112454545,7.23543506766917,-2.63921431288559,0.0092989734457732,0.0211977953842898,-2.97720442488214
TMED6,-1.30424704151515,5.26774472180451,-3.79040319981644,0.0002268366648462,0.0012542806326806,0.347254392089047
CP,-1.30528066787879,8.6616872481203,-3.11376179010891,0.0022608371273024,0.0068132228580357,-1.73029343154168
KCNS1,-1.32248068333333,5.71931904511278,-4.11731041923287,6.67863915696844e-05,0.0005884810030137,1.46778369158033
RAI2,-1.32445039909091,6.80633445864662,-4.531705925301,1.28602044079527e-05,0.0002649202108038,2.98868319241017
HEY2,-1.32905240151515,5.98841936842105,-4.8665883456995,3.15253032912882e-06,0.0001369119952999,4.29418583315623
HSPB8,-1.33114915121212,6.32181090225564,-4.40173383363876,2.18049489799853e-05,0.000339036160839,2.5000425621006
GPM6B,-1.33672821878787,7.80046993233083,-5.02422159211538,1.59142339721823e-06,9.99001472422569e-05,4.9308641856076
HS3ST3A1,-1.3417777039394,6.03976602255639,-3.78673579966815,0.0002298776509662,0.0012678804167595,0.335099011722733
SAMD15,-1.34254175151515,5.10762873684211,-4.65886006261688,7.59813133746797e-06,0.0002042228163003,3.47663579111351
EPM2AIP1,-1.34604576909091,7.85880857894737,-3.61880657675666,0.0004188763651573,0.0019201353450945,-0.211330482191869
TMEM132C,-1.34635936575757,4.72348469924812,-4.64907254617848,7.91487212492567e-06,0.0002080539563255,3.43873424037867
MLH1,-1.35308472121212,7.25630581203008,-4.18346223159588,5.17108124699923e-05,0.0005099843097919,1.70322402944548
STX19,-1.35452122909091,6.25467510526316,-5.26558789313739,5.4457901049073e-07,6.42921699636659e-05,5.93173852565625
FAM110C,-1.35513431939394,8.50846904511278,-4.27543004857806,3.60684450968669e-05,0.0004282042249911,2.03526199755756
CLDN10,-1.36646020030303,6.63432465413534,-3.36236947122216,0.0010085538216663,0.0036433201794809,-1.00645198658468
UPK1B,-1.37862038363636,5.66684631578947,-3.14845606232045,0.0020254144802378,0.0062426057293193,-1.63212340446366
