gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
TNFAIP8L3,-0.140744462727273,2.99020063157895,-1.94571404675839,0.0537909713641569,0.0913699730668574,-4.46152371614677
RPS6KL1,-0.14075655,4.9388849924812,-1.1033956575565,0.271840997612716,0.353193851190984,-5.68670358065895
LOC105372762,-0.140763145151515,2.30510043609023,-2.92796903661586,0.0040128529080535,0.0107356844033639,-2.23997186884048
CTNS,-0.140791645454544,6.02542183458647,-1.37687224961435,0.170857038059706,0.239482183180542,-5.360797388402
ITGAD,-0.14082650030303,4.44220355639098,-2.664909851243,0.0086510962892845,0.019964372643813,-2.91436135445853
STAT3,-0.140920414848484,9.46493771428571,-0.916969652718059,0.360812621855532,0.445618818672426,-5.86840952130476
GLI3,-0.140932046363635,2.71726730827068,-2.5556894394364,0.0117183093562649,0.0257168419702441,-3.17769500446731
ACYP1,-0.140941166969696,8.10699410526316,-1.53516273407826,0.127111218070363,0.187089623097439,-5.14028546886448
LOC51145,-0.140961063636363,2.64388939849624,-2.86663177466282,0.0048224744933132,0.0124305560611602,-2.4022244715749
HAND2-AS1,-0.14097022090909,3.55171855639098,-0.92383311180989,0.357240526987553,0.441882958080064,-5.86230584593064
SPICE1,-0.141006758484848,2.98362427067669,-2.61123808248317,0.0100538596985893,0.0226248266185622,-3.04500381408236
SPNS3,-0.141023533939395,3.61752733834586,-1.19197227622401,0.235387370983976,0.313332470356357,-5.58883668980224
ZSCAN29,-0.141024121212124,7.03404505263158,-1.24277557491766,0.216129635582035,0.29140620337475,-5.52937116677295
PARP15,-0.141161692424242,2.37637936842105,-3.356874780313,0.001027202078074,0.003693828919159,-1.02295705537106
GJD4,-0.141187093636364,3.64948634586466,-2.05135748413754,0.0421882835682677,0.0745533148351005,-4.26236331522836
ZC3H12C,-0.141193242121213,2.30238612030075,-3.67584583055698,0.0003423799964986,0.0016635300527832,-0.0279740099575969
LINC00644,-0.14121507030303,2.40262171428571,-3.40102260786806,0.0008860587190543,0.0033043177567714,-0.889706813465284
RSPO3,-0.141232098787877,4.69692666917293,-0.465500442151095,0.642331858790404,0.709259725715729,-6.1706777624148
GLRA3,-0.141234229696969,2.06382918045113,-3.51692024211712,0.000597168962835,0.0024770180854147,-0.533016006135013
LOC100506679,-0.141237915454545,3.90058037593985,-2.44042211059053,0.0159816815565012,0.0332457789756797,-3.44478825555795
LUZP4,-0.141270032424242,4.14356682706767,-2.47319645685717,0.0146474219895813,0.0309311877746514,-3.36998368659612
WFDC21P,-0.141294367272727,5.13746563909774,-1.24748236842025,0.214405263852758,0.289421817328823,-5.5237391583645
PPY,-0.141335907272726,3.11790487218045,-1.88953228174067,0.0609897800269764,0.101313394156554,-4.56339494025529
LOC101928700,-0.141390865757576,2.40210134586466,-3.0367337813072,0.0028768959731255,0.0082357878481932,-1.94489833158799
ACTR3C,-0.141412251515152,5.33363984962406,-0.987715334726682,0.325079436610961,0.408738394762212,-5.80334264270155
FMN2,-0.141523051212121,2.47719418796992,-0.983949970324107,0.326920567342554,0.410771918436016,-5.8069257857356
TNNI2,-0.141538237272727,4.593645,-1.28615699465422,0.200615160459585,0.27394608085485,-5.47667588286242
TWNK,-0.141558641818182,7.13674088721805,-1.27708723029504,0.203788875887634,0.277678848975401,-5.48783867501728
CA1,-0.141659117878788,2.58156382706767,-2.79717430914155,0.0059179415721417,0.0146592858624882,-2.58230264978494
RHOV,-0.14167654,5.76189371428571,-1.06764645409197,0.28760747882871,0.369964303720785,-5.72410323878912
DHDDS,-0.141706821515152,6.84605633082707,-1.72327920143139,0.087154057082867,0.136339876357142,-4.84824657768984
WDR19,-0.141748056363636,2.70159284962406,-3.10032435931128,0.0023586449726607,0.0070427931826764,-1.76806451486561
CACNG4,-0.141751025454546,3.58521017293233,-2.45455400380177,0.0153936487210813,0.0321938237212462,-3.41264486140001
PSORS1C3,-0.141778946060607,3.61755210526316,-0.832936262978051,0.406368817644569,0.490885603300934,-5.93949403782199
LINC00029,-0.141788077272728,3.79443184962406,-3.02752801044462,0.0029600880215453,0.0084317049001299,-1.97023524797082
CATR1,-0.141883244242424,2.36466870676692,-3.35922215426554,0.0010191962601021,0.0036709249061448,-1.01590873224073
SNX3,-0.141929306666668,9.99610709774436,-0.913453552896844,0.362651327806422,0.447479066423571,-5.87151898677921
LOC101927330,-0.141942116060608,4.33817278947368,-1.17069214043086,0.243808686498793,0.322670103778525,-5.61302389046853
